Training with hyperparameters: alpha=0.0001, lambda=0.0001
Training data: D:/PycharmProjects/pythonProject/CFRNet/Dataset/IHDP/ihdp_npci_1-1000.train.npz/ihdp_npci_1-1000.train.npz
Test data:     D:/PycharmProjects/pythonProject/CFRNet/Dataset/IHDP/ihdp_npci_1-1000.test.npz/ihdp_npci_1-1000.test.npz
Loaded data with shape [672,25]
Defining graph...

Training on experiment 1/1...
0	Obj: 46.638,	F: 3.813,	Cf: 6.007,	Imb: 0.67,	Val: 3.844,	ValImb: 0.68,	ValObj: 47.39
100	Obj: 43.042,	F: 3.707,	Cf: 5.889,	Imb: 1.5,	Val: 3.738,	ValImb: 1.5,	ValObj: 43.76
200	Obj: 29.162,	F: 3.060,	Cf: 5.107,	Imb: 1.5,	Val: 3.091,	ValImb: 1.5,	ValObj: 29.82
300	Obj: 14.595,	F: 2.183,	Cf: 3.565,	Imb: 1.5,	Val: 2.215,	ValImb: 1.5,	ValObj: 15.20
400	Obj: 5.866,	F: 1.483,	Cf: 1.969,	Imb: 0.92,	Val: 1.545,	ValImb: 0.99,	ValObj: 6.52
500	Obj: 3.528,	F: 1.196,	Cf: 1.188,	Imb: 1.1,	Val: 1.234,	ValImb: 1.2,	ValObj: 3.84
600	Obj: 2.746,	F: 1.066,	Cf: 1.076,	Imb: 1.1,	Val: 1.125,	ValImb: 1.2,	ValObj: 3.13
700	Obj: 2.322,	F: 0.992,	Cf: 1.036,	Imb: 1.2,	Val: 1.080,	ValImb: 1.3,	ValObj: 2.82
800	Obj: 2.056,	F: 0.941,	Cf: 1.044,	Imb: 1.3,	Val: 1.090,	ValImb: 1.3,	ValObj: 2.87
900	Obj: 1.902,	F: 0.915,	Cf: 1.022,	Imb: 1.3,	Val: 1.084,	ValImb: 1.3,	ValObj: 2.80
1000	Obj: 1.801,	F: 0.900,	Cf: 1.041,	Imb: 1.3,	Val: 1.086,	ValImb: 1.3,	ValObj: 2.73
1100	Obj: 1.764,	F: 0.901,	Cf: 1.036,	Imb: 1.3,	Val: 1.083,	ValImb: 1.3,	ValObj: 2.62
1200	Obj: 1.616,	F: 0.869,	Cf: 1.041,	Imb: 1.3,	Val: 1.096,	ValImb: 1.3,	ValObj: 2.67
1300	Obj: 1.573,	F: 0.864,	Cf: 1.072,	Imb: 1.3,	Val: 1.118,	ValImb: 1.3,	ValObj: 2.71
1400	Obj: 1.486,	F: 0.854,	Cf: 1.068,	Imb: 1.3,	Val: 1.131,	ValImb: 1.3,	ValObj: 2.80
1500	Obj: 1.495,	F: 0.858,	Cf: 1.071,	Imb: 1.3,	Val: 1.124,	ValImb: 1.3,	ValObj: 2.70
1600	Obj: 1.436,	F: 0.849,	Cf: 1.113,	Imb: 1.3,	Val: 1.166,	ValImb: 1.3,	ValObj: 2.95
1700	Obj: 1.583,	F: 0.897,	Cf: 1.124,	Imb: 1.3,	Val: 1.146,	ValImb: 1.3,	ValObj: 2.74
1800	Obj: 1.311,	F: 0.831,	Cf: 1.144,	Imb: 1.3,	Val: 1.383,	ValImb: 1.3,	ValObj: 4.57
1900	Obj: 1.293,	F: 0.832,	Cf: 1.144,	Imb: 1.3,	Val: 1.207,	ValImb: 1.3,	ValObj: 3.20
1999	Obj: 1.293,	F: 0.841,	Cf: 1.150,	Imb: 1.3,	Val: 1.284,	ValImb: 1.2,	ValObj: 3.80
Saving result to D:\PycharmProjects\pythonProject\DRN\Results\ihdp\results_20210606_181735-073740\...

