Training with hyperparameters: alpha=0.0001, lambda=0.0001
Training data: D:/PycharmProjects/pythonProject/CFRNet/Dataset/Jobs/jobs_DW_bin.new.10.train.npz
Test data:     D:/PycharmProjects/pythonProject/CFRNet/Dataset/Jobs/jobs_DW_bin.new.10.test.npz
Loaded data with shape [2570,17]
Defining graph...

Training on experiment 1/1...
0	Obj: 4.689,	F: 0.921,	Cf: nan,	Imb: 0.41,	Val: 0.929,	ValImb: 0.43,	ValObj: 4.76
100	Obj: 3.330,	F: 0.809,	Cf: nan,	Imb: 2.6,	Val: 0.814,	ValImb: 2.6,	ValObj: 3.35
200	Obj: 0.515,	F: 0.327,	Cf: nan,	Imb: 1.9,	Val: 0.299,	ValImb: 2,	ValObj: 0.43
300	Obj: 0.427,	F: 0.307,	Cf: nan,	Imb: 1.8,	Val: 0.301,	ValImb: 1.9,	ValObj: 0.42
400	Obj: 0.397,	F: 0.304,	Cf: nan,	Imb: 1.8,	Val: 0.296,	ValImb: 1.9,	ValObj: 0.38
500	Obj: 0.391,	F: 0.311,	Cf: nan,	Imb: 1.9,	Val: 0.301,	ValImb: 1.9,	ValObj: 0.38
600	Obj: 0.353,	F: 0.301,	Cf: nan,	Imb: 1.6,	Val: 0.299,	ValImb: 1.7,	ValObj: 0.36
700	Obj: 0.349,	F: 0.308,	Cf: nan,	Imb: 1.7,	Val: 0.299,	ValImb: 1.8,	ValObj: 0.34
800	Obj: 0.327,	F: 0.302,	Cf: nan,	Imb: 1.7,	Val: 0.298,	ValImb: 1.8,	ValObj: 0.34
900	Obj: 0.313,	F: 0.302,	Cf: nan,	Imb: 1.6,	Val: 0.296,	ValImb: 1.7,	ValObj: 0.32
1000	Obj: 0.308,	F: 0.304,	Cf: nan,	Imb: 1.4,	Val: 0.302,	ValImb: 1.5,	ValObj: 0.32
1100	Obj: 0.291,	F: 0.301,	Cf: nan,	Imb: 1.6,	Val: 0.296,	ValImb: 1.7,	ValObj: 0.30
1200	Obj: 0.281,	F: 0.299,	Cf: nan,	Imb: 1.5,	Val: 0.298,	ValImb: 1.5,	ValObj: 0.30
1300	Obj: 0.275,	F: 0.299,	Cf: nan,	Imb: 1.6,	Val: 0.295,	ValImb: 1.6,	ValObj: 0.29
1400	Obj: 0.270,	F: 0.299,	Cf: nan,	Imb: 1.4,	Val: 0.300,	ValImb: 1.5,	ValObj: 0.29
1500	Obj: 0.269,	F: 0.303,	Cf: nan,	Imb: 1.6,	Val: 0.297,	ValImb: 1.7,	ValObj: 0.28
1600	Obj: 0.260,	F: 0.300,	Cf: nan,	Imb: 1.6,	Val: 0.296,	ValImb: 1.7,	ValObj: 0.28
1700	Obj: 0.256,	F: 0.299,	Cf: nan,	Imb: 1.4,	Val: 0.300,	ValImb: 1.5,	ValObj: 0.28
1800	Obj: 0.250,	F: 0.298,	Cf: nan,	Imb: 1.5,	Val: 0.297,	ValImb: 1.6,	ValObj: 0.27
1900	Obj: 0.247,	F: 0.299,	Cf: nan,	Imb: 1.5,	Val: 0.297,	ValImb: 1.6,	ValObj: 0.27
1999	Obj: 0.244,	F: 0.298,	Cf: nan,	Imb: 1.5,	Val: 0.298,	ValImb: 1.6,	ValObj: 0.27
Saving result to D:\PycharmProjects\pythonProject\DRN\Results\jobs\results_20210922_164022-501610\...

